GPS_LAT,GPS_LON,INS_LAT,INS_LON,INS_V,INS_ROLL,INS_PITCH,INS_YAW,FUS_LAT,FUS_LON,FUS_V,FUS_ROLL,FUS_PITCH,FUS_YAW,
60.18460798,24.82717026,60.18460784,24.82717183,0.1311189159,0,-0,279.9495,60.18460784,24.82717183,0.1311189162,0,0,279.9495,
60.18460798,24.82717026,60.18460784,24.82717188,0.1341780326,0,-0,279.9495,60.18460784,24.82717188,0.1341780329,0,0,279.9495,
60.18460798,24.82717026,60.18460783,24.82717194,0.1372371498,0,-0,279.9495,60.18460783,24.82717194,0.1372371501,0,0,279.9495,
60.18460798,24.82717026,60.18460783,24.827172,0.1398178586,0,-0,279.9495,60.18460783,24.827172,0.1398178589,0,0,279.9495,
60.18460798,24.82717026,60.18460782,24.82717205,0.1419201567,0,-0,279.9246,60.18460782,24.82717205,0.1419201571,0,0,279.9246,
60.18460798,24.82717026,60.18460782,24.82717211,0.1440224573,0,-0,279.9246,60.18460782,24.82717211,0.1440224576,0,0,279.9246,
60.18460798,24.82717026,60.18460781,24.82717217,0.1461247584,0,-0,279.9246,60.18460781,24.82717217,0.1461247587,0,0,279.9246,
60.18460798,24.82717026,60.18460781,24.82717223,0.1482270599,0,-0,279.9246,60.18460781,24.82717223,0.1482270602,0,0,279.9246,
60.18460798,24.82717026,60.1846078,24.82717229,0.1503293618,0,-0,279.9246,60.1846078,24.82717229,0.1503293621,0,0,279.9246,
60.18460798,24.82717026,60.1846078,24.82717235,0.1524316641,0,-0,279.9246,60.1846078,24.82717235,0.1524316644,0,0,279.9246,
60.18460798,24.82717026,60.18460779,24.82717241,0.1545339668,0,-0,279.9246,60.18460779,24.82717241,0.1545339672,0,0,279.9246,
60.18460798,24.82717026,60.18460779,24.82717248,0.156636269,0,-0,279.9149,60.18460779,24.82717248,0.1566362693,0,0,279.9149,
60.18460798,24.82717026,60.18460778,24.82717254,0.1591056179,0,-0,279.9149,60.18460778,24.82717254,0.1591056183,0,0,279.9149,
60.18460798,24.82717026,60.18460778,24.82717261,0.1619420128,0,-0,279.9149,60.18460778,24.82717261,0.1619420132,0,0,279.9149,
60.18460798,24.82717026,60.18460777,24.82717267,0.1647784083,0,-0,279.9149,60.18460777,24.82717267,0.1647784086,0,0,279.9149,
60.18460798,24.82717026,60.18460776,24.82717274,0.1676148043,0,-0,279.9149,60.18460776,24.82717274,0.1676148046,0,0,279.9149,
60.18460798,24.82717026,60.18460776,24.82717281,0.1704512008,0,-0,279.9149,60.18460776,24.82717281,0.1704512011,0,0,279.9149,
60.18460798,24.82717026,60.18460775,24.82717288,0.1729819161,0,-0,279.9149,60.18460775,24.82717288,0.1729819164,0,0,279.9149,
60.18460798,24.82717026,60.18460775,24.82717295,0.1752069594,0,-0,279.9878,60.18460775,24.82717295,0.1752069597,0,0,279.9878,
60.18460798,24.82717026,60.18460774,24.82717302,0.1774319944,0,-0,279.9878,60.18460774,24.82717302,0.1774319947,0,0,279.9878,
60.18460798,24.82717026,60.18460773,24.82717309,0.1796570296,0,-0,279.9878,60.18460773,24.82717309,0.1796570299,0,0,279.9878,
60.18460798,24.82717026,60.18460773,24.82717317,0.1818820652,0,-0,279.9878,60.18460773,24.82717317,0.1818820655,0,0,279.9878,
60.18460798,24.82717026,60.18460772,24.82717324,0.1841071012,0,-0,279.9878,60.18460772,24.82717324,0.1841071015,0,0,279.9878,
60.18460798,24.82717026,60.18460771,24.82717332,0.1863321377,0,-0,279.9878,60.18460771,24.82717332,0.186332138,0,0,279.9878,
60.18460798,24.82717026,60.18460771,24.82717339,0.1886594473,0,-0,279.9878,60.18460771,24.82717339,0.1886594476,0,0,279.9878,
60.18460798,24.82717026,60.1846077,24.82717347,0.1910890325,0,-0,280.0033,60.1846077,24.82717347,0.1910890328,0,0,280.0033,
60.18460798,24.82717026,60.18460769,24.82717355,0.1935186159,0,-0,280.0033,60.18460769,24.82717355,0.1935186162,0,0,280.0033,
60.18460798,24.82717026,60.18460769,24.82717363,0.1959481998,0,-0,280.0033,60.18460769,24.82717363,0.1959482001,0,0,280.0033,
60.18460798,24.82717026,60.18460768,24.82717371,0.1983777841,0,-0,280.0033,60.18460768,24.82717371,0.1983777844,0,0,280.0033,
60.18460798,24.82717026,60.18460767,24.82717379,0.2008073689,0,-0,280.0033,60.18460767,24.82717379,0.2008073692,0,0,280.0033,
