time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll
27.045138,0.0006,-0.0003,0.0005,0,0.0001,-0.0004,6.6124,3.3184,-76.5672,163.4503,0.268,0.5229
27.046326,0.0006,-0.0003,0.0005,0,0.0001,-0.0004,6.6124,3.3184,-76.5672,163.4503,0.268,0.5229
27.047574,0.0006,-0.0003,0.0005,0,0.0001,-0.0004,6.6124,3.3184,-76.5672,163.4508,0.2682,0.5231
27.107707,0.0006,-0.0003,0.0005,0,0.0001,-0.0004,6.6124,3.2696,-76.4574,163.4508,0.2682,0.5231
27.123848,0.0005,0.0008,0.0002,0,0.0001,-0.0004,6.6124,3.2696,-76.4574,163.4508,0.2682,0.5231
27.126005,0.0005,0.0008,0.0002,0,0.0001,0.0004,6.6124,3.2696,-76.4574,163.4508,0.2682,0.5231
27.12733,0.0005,0.0008,0.0002,0,0.0001,0.0004,6.6124,3.2696,-76.4574,163.4508,0.2682,0.5231
27.128472,0.0005,0.0008,0.0002,0,0.0001,0.0004,6.6124,3.2696,-76.4574,163.4506,0.2676,0.5231
27.163332,0.0005,0.0008,0.0002,0.0011,0.0001,-0.0004,6.6124,3.2696,-76.4574,163.4506,0.2676,0.5231
27.165229,-0.0005,0.0006,0.0007,0.0011,0.0001,-0.0004,6.6124,3.2696,-76.4574,163.4506,0.2676,0.5231
27.166456,-0.0005,0.0006,0.0007,0.0011,0.0001,-0.0004,6.6124,3.2696,-76.4574,163.4506,0.2676,0.5231
27.174443,-0.0005,0.0006,0.0007,0.0011,0.0001,-0.0004,6.5514,3.3184,-76.4452,163.4506,0.2676,0.5231
27.176437,-0.0005,0.0006,0.0007,0.0011,0.0001,-0.0004,6.5514,3.3184,-76.4452,163.446,0.2633,0.5225
27.241954,-0.0005,0.0006,0.0007,0.0011,0.0001,-0.0004,6.527,3.355,-76.3964,163.446,0.2633,0.5225
27.244191,-0.0005,0.0006,0.0007,0.0004,0.0001,-0.0004,6.527,3.355,-76.3964,163.446,0.2633,0.5225
27.245458,-0.0005,0.0006,0.0007,0.0004,0.0001,-0.0004,6.527,3.355,-76.3964,163.446,0.2633,0.5225
27.246663,0.0007,-0.0017,-0.0036,0.0004,0.0001,-0.0004,6.527,3.355,-76.3964,163.446,0.2633,0.5225
27.247799,0.0007,-0.0017,-0.0036,0.0004,0.0001,-0.0004,6.527,3.355,-76.3964,163.4464,0.2631,0.5227
27.307656,0.0007,-0.0017,-0.0036,0.0004,0.0001,-0.0004,6.649,3.3428,-76.4086,163.4464,0.2631,0.5227
27.321963,0.0007,-0.0017,-0.0036,0,0.0001,-0.0004,6.649,3.3428,-76.4086,163.4464,0.2631,0.5227
27.324826,0.0006,0.0006,0.0004,0,0.0001,-0.0004,6.649,3.3428,-76.4086,163.4464,0.2631,0.5227
27.326045,0.0006,0.0006,0.0004,0,0.0001,-0.0004,6.649,3.3428,-76.4086,163.4465,0.2626,0.5229
27.327622,0.0006,0.0006,0.0004,0,0.0001,-0.0004,6.649,3.3428,-76.4086,163.4465,0.2626,0.5229
27.362063,0.0006,0.0006,0.0004,0,0.0001,-0.0004,6.649,3.3428,-76.4086,163.4465,0.2626,0.5229
27.363862,0.0015,-0.0036,0.001,0,0.0001,-0.0004,6.649,3.3428,-76.4086,163.4465,0.2626,0.5229
27.365111,0.0015,-0.0036,0.001,0,0.0001,-0.0004,6.649,3.3428,-76.4086,163.4465,0.2626,0.5229
27.373026,0.0015,-0.0036,0.001,0,0.0001,-0.0004,6.6978,3.355,-76.4818,163.4465,0.2626,0.5229
27.375084,0.0015,-0.0036,0.001,0,0.0001,-0.0004,6.6978,3.355,-76.4818,163.4501,0.2652,0.5237
27.442011,0.0015,-0.0036,0.001,0,0.0001,-0.0004,6.6002,3.2818,-76.433,163.4501,0.2652,0.5237
27.444409,0.0008,-0.0004,-0.0012,0,0.0001,-0.0004,6.6002,3.2818,-76.433,163.4501,0.2652,0.5237
27.445964,0.0008,-0.0004,-0.0012,0,0.0004,-0.0004,6.6002,3.2818,-76.433,163.4501,0.2652,0.5237
27.447523,0.0008,-0.0004,-0.0012,0,0.0004,-0.0004,6.6002,3.2818,-76.433,163.4476,0.2655,0.5225
27.4492,0.0008,-0.0004,-0.0012,0,0.0004,-0.0004,6.6002,3.2818,-76.433,163.4476,0.2655,0.5225
27.508317,0.0008,-0.0004,-0.0012,0,0.0004,-0.0004,6.527,3.294,-76.4574,163.4476,0.2655,0.5225
27.521933,0.0008,-0.0004,-0.0012,0.0007,0.0001,-0.0004,6.527,3.294,-76.4574,163.4476,0.2655,0.5225
27.523973,0.0015,0.0013,0.0004,0.0007,0.0001,-0.0004,6.527,3.294,-76.4574,163.4476,0.2655,0.5225
27.525227,0.0015,0.0013,0.0004,0.0007,0.0001,-0.0004,6.527,3.294,-76.4574,163.4469,0.2618,0.5233
27.526701,0.0015,0.0013,0.0004,0.0007,0.0001,-0.0004,6.527,3.294,-76.4574,163.4469,0.2618,0.5233
27.560582,0.0015,0.0013,0.0004,0,0.0001,0.0007,6.527,3.294,-76.4574,163.4469,0.2618,0.5233
27.562167,0.0015,0.0013,0.0004,0,0.0001,0.0007,6.527,3.294,-76.4574,163.4469,0.2618,0.5233
27.563493,-0.0028,-0.0038,0.001,0,0.0001,0.0007,6.527,3.294,-76.4574,163.4469,0.2618,0.5233
27.573669,-0.0028,-0.0038,0.001,0,0.0001,0.0007,6.5392,3.3306,-76.372,163.4469,0.2618,0.5233
27.575434,-0.0028,-0.0038,0.001,0,0.0001,0.0007,6.5392,3.3306,-76.372,163.4433,0.2646,0.521
27.641911,-0.0028,-0.0038,0.001,0,0.0001,0.0007,6.527,3.3916,-76.3598,163.4433,0.2646,0.521
27.64398,-0.0004,-0.0008,-0.0005,0,0.0001,0.0007,6.527,3.3916,-76.3598,163.4433,0.2646,0.521
27.645136,-0.0004,-0.0008,-0.0005,0.0004,0.0001,0,6.527,3.3916,-76.3598,163.4433,0.2646,0.521
27.646177,-0.0004,-0.0008,-0.0005,0.0004,0.0001,0,6.527,3.3916,-76.3598,163.4414,0.2638,0.5204
27.647487,-0.0004,-0.0008,-0.0005,0.0004,0.0001,0,6.527,3.3916,-76.3598,163.4414,0.2638,0.5204
27.707556,-0.0004,-0.0008,-0.0005,0.0004,0.0001,0,6.5148,3.3794,-76.3842,163.4414,0.2638,0.5204
27.721593,0.0019,-0.0014,0.0024,0.0004,0.0001,0,6.5148,3.3794,-76.3842,163.4414,0.2638,0.5204
27.723402,0.0019,-0.0014,0.0024,0,0.0001,0.0003,6.5148,3.3794,-76.3842,163.4414,0.2638,0.5204
27.72477,0.0019,-0.0014,0.0024,0,0.0001,0.0003,6.5148,3.3794,-76.3842,163.4445,0.2648,0.5214
27.726533,0.0019,-0.0014,0.0024,0,0.0001,0.0003,6.5148,3.3794,-76.3842,163.4445,0.2648,0.5214
27.773303,0.0019,-0.0014,0.0024,0,0.0001,0.0003,6.5636,3.416,-76.3964,163.4445,0.2648,0.5214
27.801554,-0.0004,-0.0012,0.0007,0,0.0001,0.0003,6.5636,3.416,-76.3964,163.4445,0.2648,0.5214
